price;volume;time
3665.15;3063463;2024-01-04 15:09:19
3665.1;3063949;2024-01-04 15:09:20
3665.1;3064079;2024-01-04 15:09:21
3665.35;3064237;2024-01-04 15:09:22
3665.2;3064337;2024-01-04 15:09:23
3665;3064337;2024-01-04 15:09:23
3665.1;3064716;2024-01-04 15:09:24
3664.7;3064716;2024-01-04 15:09:24
3665.1;3064844;2024-01-04 15:09:25
3665.05;3064844;2024-01-04 15:09:25
3665.05;3064921;2024-01-04 15:09:26
3665.05;3064921;2024-01-04 15:09:26
3664.95;3064946;2024-01-04 15:09:27
3664.95;3064946;2024-01-04 15:09:27
3665;3064949;2024-01-04 15:09:28
3665.05;3064949;2024-01-04 15:09:28
3665;3065097;2024-01-04 15:09:29
3665.05;3065097;2024-01-04 15:09:29
3665.05;3065117;2024-01-04 15:09:30
3665.05;3065117;2024-01-04 15:09:30
3665;3065484;2024-01-04 15:09:31
3665;3065484;2024-01-04 15:09:31
3665.05;3065607;2024-01-04 15:09:32
3665;3065607;2024-01-04 15:09:32
3665;3065909;2024-01-04 15:09:34
3665.05;3065944;2024-01-04 15:09:34
3664.95;3066509;2024-01-04 15:09:35
3664.9;3066636;2024-01-04 15:09:36
3665;3066761;2024-01-04 15:09:37
3665.05;3067645;2024-01-04 15:09:38
3665.05;3067656;2024-01-04 15:09:40
3665;3067656;2024-01-04 15:09:40
3665.05;3067737;2024-01-04 15:09:40
3664.95;3067803;2024-01-04 15:09:41
3665;3067803;2024-01-04 15:09:41
3664.95;3067946;2024-01-04 15:09:42
3665;3067946;2024-01-04 15:09:42
3664.9;3068336;2024-01-04 15:09:43
3664.95;3068486;2024-01-04 15:09:45
3664.95;3069067;2024-01-04 15:09:45
3664.85;3069067;2024-01-04 15:09:45
3664.85;3069309;2024-01-04 15:09:47
3664.8;3069309;2024-01-04 15:09:47
3664.85;3070081;2024-01-04 15:09:48
3664.65;3070325;2024-01-04 15:09:49
3664.8;3070325;2024-01-04 15:09:49
3664.85;3070606;2024-01-04 15:09:49
3664.8;3070606;2024-01-04 15:09:49
3664.85;3071008;2024-01-04 15:09:51
3665.1;3073330;2024-01-04 15:09:52
3665.3;3073875;2024-01-04 15:09:53
3665.6;3074060;2024-01-04 15:09:54
3665.35;3074562;2024-01-04 15:09:55
3665.35;3074760;2024-01-04 15:09:56
3665;3075830;2024-01-04 15:09:57
3665;3075830;2024-01-04 15:09:57
3665;3076177;2024-01-04 15:09:58
3664.95;3076177;2024-01-04 15:09:58
3665;3076358;2024-01-04 15:09:59
3665.05;3076358;2024-01-04 15:09:59
3664.9;3077317;2024-01-04 15:10:00
3664.9;3078276;2024-01-04 15:10:01
3665.05;3078276;2024-01-04 15:10:01
3664.55;3079690;2024-01-04 15:10:02
3664.55;3079690;2024-01-04 15:10:02
3664.85;3079879;2024-01-04 15:10:03
3664.9;3079879;2024-01-04 15:10:03
3664.55;3080542;2024-01-04 15:10:04
3664.55;3080542;2024-01-04 15:10:04
3664.6;3081353;2024-01-04 15:10:06
3664.85;3081548;2024-01-04 15:10:07
3664.9;3081961;2024-01-04 15:10:08
3664.9;3081999;2024-01-04 15:10:09
3664.65;3082227;2024-01-04 15:10:09
3664.85;3082501;2024-01-04 15:10:11
3664.85;3082711;2024-01-04 15:10:12
3664.85;3083141;2024-01-04 15:10:13
3665;3083472;2024-01-04 15:10:14
3665;3083752;2024-01-04 15:10:15
3664.9;3084253;2024-01-04 15:10:16
3665.75;3084253;2024-01-04 15:10:16
3665.75;3084590;2024-01-04 15:10:17
3665.75;3084590;2024-01-04 15:10:17
3665.75;3084689;2024-01-04 15:10:18
3665.65;3084689;2024-01-04 15:10:18
3665.65;3085216;2024-01-04 15:10:19
3665.65;3085216;2024-01-04 15:10:19
3665.6;3085631;2024-01-04 15:10:20
3665.6;3085631;2024-01-04 15:10:20
3665.75;3085837;2024-01-04 15:10:21
3665.75;3085837;2024-01-04 15:10:21
3665.5;3086075;2024-01-04 15:10:22
3665.65;3086216;2024-01-04 15:10:24
3665.65;3086216;2024-01-04 15:10:24
3665.7;3086558;2024-01-04 15:10:25
3665.65;3086558;2024-01-04 15:10:25
3665.6;3086694;2024-01-04 15:10:26
3665.6;3086729;2024-01-04 15:10:27
3665.6;3086894;2024-01-04 15:10:28
3665.6;3087044;2024-01-04 15:10:29
3665.65;3087150;2024-01-04 15:10:30
3665.65;3087260;2024-01-04 15:10:30
3665.7;3087260;2024-01-04 15:10:30
3665.7;3087592;2024-01-04 15:10:32
3665.7;3087592;2024-01-04 15:10:32
3665.65;3087794;2024-01-04 15:10:33
3665.65;3087853;2024-01-04 15:10:34
3665.6;3088093;2024-01-04 15:10:35
3665.7;3088325;2024-01-04 15:10:36
3665.6;3088325;2024-01-04 15:10:36
3665.7;3088384;2024-01-04 15:10:37
3665.7;3088384;2024-01-04 15:10:37
3665.65;3088489;2024-01-04 15:10:38
3665.6;3088495;2024-01-04 15:10:39
3665.65;3088557;2024-01-04 15:10:40
3665.65;3088860;2024-01-04 15:10:41
3665.6;3089001;2024-01-04 15:10:41
3665.65;3089088;2024-01-04 15:10:43
3665.65;3089104;2024-01-04 15:10:44
3665.6;3089104;2024-01-04 15:10:44
3665.65;3089119;2024-01-04 15:10:45
3665.65;3089119;2024-01-04 15:10:45
3665.65;3089348;2024-01-04 15:10:46
3665.6;3089514;2024-01-04 15:10:47
3665.6;3089515;2024-01-04 15:10:48
3665.65;3089819;2024-01-04 15:10:49
3665.6;3090085;2024-01-04 15:10:50
3665.65;3090085;2024-01-04 15:10:50
3665.65;3090313;2024-01-04 15:10:51
3665.65;3090313;2024-01-04 15:10:51
3665.65;3090414;2024-01-04 15:10:52
3666.05;3090425;2024-01-04 15:10:53
3666;3092470;2024-01-04 15:10:54
3666.9;3092470;2024-01-04 15:10:54
3666.9;3092925;2024-01-04 15:10:55
3666.05;3092925;2024-01-04 15:10:55
3666.9;3093180;2024-01-04 15:10:56
3665.95;3093786;2024-01-04 15:10:57
3666.15;3093839;2024-01-04 15:10:57
3666.8;3093986;2024-01-04 15:10:59
3666.6;3093986;2024-01-04 15:10:59
3666.8;3094258;2024-01-04 15:11:00
3666.8;3094258;2024-01-04 15:11:00
3667;3095396;2024-01-04 15:11:01
3667;3095472;2024-01-04 15:11:02
3666.95;3095472;2024-01-04 15:11:02
3666.95;3095794;2024-01-04 15:11:03
3666.95;3095794;2024-01-04 15:11:03
3666.95;3095873;2024-01-04 15:11:04
3666.85;3095873;2024-01-04 15:11:04
3666.95;3095957;2024-01-04 15:11:05
3666.85;3096281;2024-01-04 15:11:06
3666.9;3096339;2024-01-04 15:11:07
3666.85;3096397;2024-01-04 15:11:08
3666.9;3096644;2024-01-04 15:11:09
3666.85;3096695;2024-01-04 15:11:10
3666.9;3096892;2024-01-04 15:11:11
3666.9;3097242;2024-01-04 15:11:12
3666.95;3097431;2024-01-04 15:11:13
3666.85;3097471;2024-01-04 15:11:14
3666.9;3097520;2024-01-04 15:11:15
3666.9;3097670;2024-01-04 15:11:16
3666.9;3097732;2024-01-04 15:11:17
3666.85;3097976;2024-01-04 15:11:18
3666.85;3097976;2024-01-04 15:11:18
3666.85;3098030;2024-01-04 15:11:19
3666.9;3098030;2024-01-04 15:11:19
3666.9;3099103;2024-01-04 15:11:20
3666.75;3099103;2024-01-04 15:11:20
3666.85;3099458;2024-01-04 15:11:22
3666.75;3099526;2024-01-04 15:11:22
3666.75;3099526;2024-01-04 15:11:22
3666.8;3102940;2024-01-04 15:11:24
